pranksLoop.thisRepN,pranksLoop.thisTrialN,pranksLoop.thisN,pranksLoop.thisIndex,promptLoop.thisRepN,promptLoop.thisTrialN,promptLoop.thisN,promptLoop.thisIndex,randomInt.routineEndVal,infoLetterContinue.numClicks,infoLetterContinue.timesOn,infoLetterContinue.timesOff,infoletter.index,infoletter.itemText,infoletter.type,infoletter.granularity,infoletter.font,infoletter.markerColor,consentBtn.started,consentBtn.stopped,consentBtn.numClicks,consentBtn.timesOn,consentBtn.timesOff,consentform.index,consentform.itemText,consentform.type,consentform.granularity,consentform.font,consentform.markerColor,consentform.response,consentform.rt,instructionsBtn.started,instructionsBtn.stopped,instructionsBtn.numClicks,instructionsBtn.timesOn,instructionsBtn.timesOff,instructionsform.index,instructionsform.itemText,instructionsform.type,instructionsform.granularity,instructionsform.font,instructionsform.markerColor,slider.response,slider.rt,slider.started,slider.stopped,prankVar.routineEndVal,promptVar.routineEndVal,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,2,"I have read the information presented in the information letter about a study being conducted under the supervision of Chris Burris, Department of Psychology, St. Jerome's University (cburris@uwaterloo.ca). I have made this decision based on the information provided. I have had the opportunity to ask any questions related to this study, to receive satisfactory answers to my questions, and any additional details I wanted.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,,,,,,,,,,,,3,"As a participant in this online study, I am aware that my identity will remain confidential.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,,,,,,,,,,,,4,I am aware that I may withdraw from participating before reaching the end of the study without penalty.,description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,,,,,,,,,,,,5,"This study has been reviewed and received ethics clearance through a University of Waterloo Research Ethics Committee (REB# 44380). If you have questions for the Committee, contact the Office of Research Ethics at 1-519-888-4567 ext. 36005 or ore-ceo@uwaterloo.ca",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,,,,,,,,,,,,6,"If you have any questions about the study, either before or after participating, please feel free to contact the Faculty Investigator.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,,,,,,,,,,,,7,I agree to participate in this study:,choice,None,None,None,0.0,2.333767299889587,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.036377100041136,None,1,[0.6610484999837354],[0.6610507000004873],0,Instructions,heading,None,None,None,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Imagine that there exists a part deep within you that you could call the "hidden observer." This part of you knows every detail of all behaviour and thought processes that go on within you and is aware of the deepest intimate information about yourself. However, it cannot be asked to talk about this intimate information unless it is allowed by you to do so.",description,None,None,None,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Five brief descriptions of prank experiences from the target's perspective (taken from the website fmylife.com) appear below. Please read each one and - from the perspective of your "hidden observer" - rate your reactions to it.,description,None,None,None,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.6817061000037938,17.734029600047506,None,""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)",I think that what happened was funny.,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.5747857000678778,19.41449710004963,None,""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)",I definitely wouldn’t have fallen for that prank.,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.3942770999856293,20.006507999962196,None,""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)",I feel bad for the target of the prank.,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.37166820000857115,20.418983199982904,None,""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)",I wish I could have been there to see that!,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.3864634999772534,20.81077570002526,None,""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)",The target just needs to move on – why do they need to tell the world about it?!,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.3751262999139726,21.213906900025904,None,""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)",I think that the prank went WAY too far.,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.1590428999625146,23.620557800051756,None,""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)",I think that what happened was funny.,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.7500654999166727,24.78662589995656,None,""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)",I definitely wouldn’t have fallen for that prank.,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.3632869999855757,25.55478700005915,None,""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)",I feel bad for the target of the prank.,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.35977720003575087,25.93557770003099,None,""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)",I wish I could have been there to see that!,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.3639263000804931,26.314372100052424,None,""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)",The target just needs to move on – why do they need to tell the world about it?!,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.3994352000299841,26.695184000069275,None,""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)",I think that the prank went WAY too far.,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.1259594999719411,29.124404200003482,None,""Today, my friends decided to pull a prank. They told my girlfriend I had cheated on her, which I hadn’t. Her revenge? Inviting me over to have me walk in on her with my brother. Our 6-month anniversary was two days away and I got her a trip to Spain, which cost me almost three paychecks." (19 December 2018)",I think that what happened was funny.,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.34003889991436154,30.256710099987686,None,""Today, my friends decided to pull a prank. They told my girlfriend I had cheated on her, which I hadn’t. Her revenge? Inviting me over to have me walk in on her with my brother. Our 6-month anniversary was two days away and I got her a trip to Spain, which cost me almost three paychecks." (19 December 2018)",I definitely wouldn’t have fallen for that prank.,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.3615462000016123,30.615175000042655,None,""Today, my friends decided to pull a prank. They told my girlfriend I had cheated on her, which I hadn’t. Her revenge? Inviting me over to have me walk in on her with my brother. Our 6-month anniversary was two days away and I got her a trip to Spain, which cost me almost three paychecks." (19 December 2018)",I feel bad for the target of the prank.,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
