pranksLoop.thisRepN,pranksLoop.thisTrialN,pranksLoop.thisN,pranksLoop.thisIndex,promptLoop.thisRepN,promptLoop.thisTrialN,promptLoop.thisN,promptLoop.thisIndex,study.primer,infoletter.index,infoletter.itemText,infoletter.type,infoletter.granularity,infoletter.font,infoletter.markerColor,consentBtn.started,consentBtn.stopped,consentform.index,consentform.itemText,consentform.type,consentform.granularity,consentform.font,consentform.markerColor,consentform.response,consentform.rt,instructionsBtn.started,instructionsBtn.stopped,instructionsBtn.numClicks,instructionsBtn.timesOn,instructionsBtn.timesOff,instructionsform.index,instructionsform.itemText,instructionsform.type,instructionsform.granularity,instructionsform.font,instructionsform.markerColor,prankVar.routineValue,promptVar.routineValue,slider.response,slider.rt,slider.started,slider.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,10,"If you have any questions about the study, either before or after participating, please feel free to contact the Faculty Investigator as shown above.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
,,,,,,,,,11,"This study has been reviewed and received ethics clearance through a University of Waterloo Research Ethics Board (REB# 44380). If you have questions for the Board, contact the Office of Research Ethics, at 1-519-888-4567 ext. 36005 or reb@uwaterloo.ca",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
,,,,,,,,,,,,,,,12.607983299996704,None,0,Consent for Participation,heading,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
,,,,,,,,,,,,,,,,,1,"By consenting to participate, you are not waiving your legal rights or releasing the investigator(s) or involved institution(s) from their legal and professional responsibilities.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
,,,,,,,,,,,,,,,,,2,"I have read the information presented in the information letter about a study being conducted under the supervision of Chris Burris, Department of Psychology, St. Jerome's University (cburris@uwaterloo.ca). I have made this decision based on the information provided. I have had the opportunity to ask any questions related to this study, to receive satisfactory answers to my questions, and any additional details I wanted.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
,,,,,,,,,,,,,,,,,3,"As a participant in this online study, I am aware that my identity will remain confidential.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
,,,,,,,,,,,,,,,,,4,I am aware that I may withdraw from participating before reaching the end of the study without penalty.,description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
,,,,,,,,,,,,,,,,,5,"This study has been reviewed and received ethics clearance through a University of Waterloo Research Ethics Committee (REB# 44380). If you have questions for the Committee, contact the Office of Research Ethics at 1-519-888-4567 ext. 36005 or ore-ceo@uwaterloo.ca",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
,,,,,,,,,,,,,,,,,6,"If you have any questions about the study, either before or after participating, please feel free to contact the Faculty Investigator.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
,,,,,,,,,,,,,,,,,7,I agree to participate in this study:,choice,None,None,None,0.0,1.1051743000280112,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
,,,,,,,,,,,,,,,,,,,,,,,,,14.2928773999447,None,1,[0.5129872000543401],[0.5129895999561995],0,Instructions,heading,None,None,None,,,,,,,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Imagine that there exists a part deep within you that you could call the "hidden observer." This part of you knows every detail of all behaviour and thought processes that go on within you and is aware of the deepest intimate information about yourself. However, it cannot be asked to talk about this intimate information unless it is allowed by you to do so.",description,None,None,None,,,,,,,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Five brief descriptions of prank experiences from the target's perspective (taken from the website fmylife.com) appear below. Please read each one and - from the perspective of your "hidden observer" - rate your reactions to it.,description,None,None,None,,,,,,,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)","I think that what happened was funny.",8.0,1.1614890000782907,16.825824399944395,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)","I definitely wouldn’t have fallen for that prank.",8.0,0.1823797000106424,17.977433799998835,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)","I feel bad for the target of the prank.",8.0,0.19703799998387694,18.17464069998823,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)","I wish I could have been there to see that!",8.0,0.1946453999262303,18.3843139000237,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)","The target just needs to move on – why do they need to tell the world about it?!",8.0,0.17777389998082072,18.59246479999274,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)","I think that the prank went WAY too far.",8.0,0.18762449990026653,18.784614100004546,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)","I think that what happened was funny.",7.0,0.36949880002066493,21.000401100027375,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)","I definitely wouldn’t have fallen for that prank.",7.0,0.1828516999958083,21.369493199978024,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)","I feel bad for the target of the prank.",7.0,0.17169629991985857,21.566020000027493,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)","I wish I could have been there to see that!",7.0,0.1664871999528259,21.750640199985355,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)","The target just needs to move on – why do they need to tell the world about it?!",7.0,0.1810752999735996,21.930288700037636,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)","I think that the prank went WAY too far.",7.0,0.15998280001804233,22.124443499953486,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my friends decided to pull a prank. They told my girlfriend I had cheated on her, which I hadn’t. Her revenge? Inviting me over to have me walk in on her with my brother. Our 6-month anniversary was two days away and I got her a trip to Spain, which cost me almost three paychecks." (19 December 2018)","I think that what happened was funny.",7.0,0.15150589996483177,24.310017899959348,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my friends decided to pull a prank. They told my girlfriend I had cheated on her, which I hadn’t. Her revenge? Inviting me over to have me walk in on her with my brother. Our 6-month anniversary was two days away and I got her a trip to Spain, which cost me almost three paychecks." (19 December 2018)","I definitely wouldn’t have fallen for that prank.",7.0,0.15307100000791252,24.461359199951403,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my friends decided to pull a prank. They told my girlfriend I had cheated on her, which I hadn’t. Her revenge? Inviting me over to have me walk in on her with my brother. Our 6-month anniversary was two days away and I got her a trip to Spain, which cost me almost three paychecks." (19 December 2018)","I feel bad for the target of the prank.",7.0,0.16963540005963296,24.62758179998491,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my friends decided to pull a prank. They told my girlfriend I had cheated on her, which I hadn’t. Her revenge? Inviting me over to have me walk in on her with my brother. Our 6-month anniversary was two days away and I got her a trip to Spain, which cost me almost three paychecks." (19 December 2018)","I wish I could have been there to see that!",7.0,0.1539519999641925,24.812303800019436,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my friends decided to pull a prank. They told my girlfriend I had cheated on her, which I hadn’t. Her revenge? Inviting me over to have me walk in on her with my brother. Our 6-month anniversary was two days away and I got her a trip to Spain, which cost me almost three paychecks." (19 December 2018)","The target just needs to move on – why do they need to tell the world about it?!",7.0,0.1651601999765262,24.979114899993874,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my friends decided to pull a prank. They told my girlfriend I had cheated on her, which I hadn’t. Her revenge? Inviting me over to have me walk in on her with my brother. Our 6-month anniversary was two days away and I got her a trip to Spain, which cost me almost three paychecks." (19 December 2018)","I think that the prank went WAY too far.",7.0,0.1596176999155432,25.15770079998765,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, while I was sleeping, my girlfriend took my phone and set the ringtone to a blood-curdling scream. I found this out when I received a call while driving to work and, thinking someone was being murdered in my backseat, I panicked and swerved into a parked car." (1 June 2011)","I think that what happened was funny.",7.0,0.31258000002708286,27.342868600040674,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, while I was sleeping, my girlfriend took my phone and set the ringtone to a blood-curdling scream. I found this out when I received a call while driving to work and, thinking someone was being murdered in my backseat, I panicked and swerved into a parked car." (1 June 2011)","I definitely wouldn’t have fallen for that prank.",7.0,0.17674459994304925,27.656719899969175,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, while I was sleeping, my girlfriend took my phone and set the ringtone to a blood-curdling scream. I found this out when I received a call while driving to work and, thinking someone was being murdered in my backseat, I panicked and swerved into a parked car." (1 June 2011)","I feel bad for the target of the prank.",7.0,0.1670969999395311,27.845835100044496,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, while I was sleeping, my girlfriend took my phone and set the ringtone to a blood-curdling scream. I found this out when I received a call while driving to work and, thinking someone was being murdered in my backseat, I panicked and swerved into a parked car." (1 June 2011)","I wish I could have been there to see that!",7.0,0.16161270008888096,28.026595199946314,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, while I was sleeping, my girlfriend took my phone and set the ringtone to a blood-curdling scream. I found this out when I received a call while driving to work and, thinking someone was being murdered in my backseat, I panicked and swerved into a parked car." (1 June 2011)","The target just needs to move on – why do they need to tell the world about it?!",7.0,0.1766724999761209,28.203007900039665,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, while I was sleeping, my girlfriend took my phone and set the ringtone to a blood-curdling scream. I found this out when I received a call while driving to work and, thinking someone was being murdered in my backseat, I panicked and swerved into a parked car." (1 June 2011)","I think that the prank went WAY too far.",7.0,0.16121570009272546,28.392224099952728,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my sister called me at work and told me our elderly mom had passed away. I dropped everything and rushed home, to find out she was fine, and that my sister was just pranking me. When I explained this to my boss, he accused me of lying to get out of work, and I was fired." (6 July 2021)","I think that what happened was funny.",7.0,0.47072129999287426,30.582968699978665,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my sister called me at work and told me our elderly mom had passed away. I dropped everything and rushed home, to find out she was fine, and that my sister was just pranking me. When I explained this to my boss, he accused me of lying to get out of work, and I was fired." (6 July 2021)","I definitely wouldn’t have fallen for that prank.",7.0,0.16542470001149923,31.053378500044346,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my sister called me at work and told me our elderly mom had passed away. I dropped everything and rushed home, to find out she was fine, and that my sister was just pranking me. When I explained this to my boss, he accused me of lying to get out of work, and I was fired." (6 July 2021)","I feel bad for the target of the prank.",7.0,0.16006739996373653,31.233335600001737,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my sister called me at work and told me our elderly mom had passed away. I dropped everything and rushed home, to find out she was fine, and that my sister was just pranking me. When I explained this to my boss, he accused me of lying to get out of work, and I was fired." (6 July 2021)","I wish I could have been there to see that!",7.0,0.14429650001693517,31.406157099991105,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my sister called me at work and told me our elderly mom had passed away. I dropped everything and rushed home, to find out she was fine, and that my sister was just pranking me. When I explained this to my boss, he accused me of lying to get out of work, and I was fired." (6 July 2021)","The target just needs to move on – why do they need to tell the world about it?!",7.0,0.1349408000241965,31.563531100051478,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my sister called me at work and told me our elderly mom had passed away. I dropped everything and rushed home, to find out she was fine, and that my sister was just pranking me. When I explained this to my boss, he accused me of lying to get out of work, and I was fired." (6 July 2021)","I think that the prank went WAY too far.",7.0,0.14239829999860376,31.712245699949563,None,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h09.01.658,study,2022.1.4,136.18300818478318,
