pranksLoop.thisRepN,pranksLoop.thisTrialN,pranksLoop.thisN,pranksLoop.thisIndex,promptLoop.thisRepN,promptLoop.thisTrialN,promptLoop.thisN,promptLoop.thisIndex,randomInt.routineEndVal,infoLetterContinue.numClicks,infoLetterContinue.timesOn,infoLetterContinue.timesOff,infoletter.index,infoletter.itemText,infoletter.type,infoletter.granularity,infoletter.font,infoletter.markerColor,consentBtn.started,consentBtn.stopped,consentBtn.numClicks,consentBtn.timesOn,consentBtn.timesOff,consentform.index,consentform.itemText,consentform.type,consentform.granularity,consentform.font,consentform.markerColor,consentform.response,consentform.rt,instructionsBtn.started,instructionsBtn.stopped,instructionsBtn.numClicks,instructionsBtn.timesOn,instructionsBtn.timesOff,instructionsform.index,instructionsform.itemText,instructionsform.type,instructionsform.granularity,instructionsform.font,instructionsform.markerColor,slider.response,slider.rt,slider.started,slider.stopped,prankVar.routineEndVal,promptVar.routineEndVal,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,5,"This study has been reviewed and received ethics clearance through a University of Waterloo Research Ethics Committee (REB# 44380). If you have questions for the Committee, contact the Office of Research Ethics at 1-519-888-4567 ext. 36005 or ore-ceo@uwaterloo.ca",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h45.02.058,study,2022.1.4,130.75946401089686,
,,,,,,,,,,,,,,,,,,,,,,,6,"If you have any questions about the study, either before or after participating, please feel free to contact the Faculty Investigator.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h45.02.058,study,2022.1.4,130.75946401089686,
,,,,,,,,,,,,,,,,,,,,,,,7,I agree to participate in this study:,choice,None,None,None,0.0,2.232058299938217,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h45.02.058,study,2022.1.4,130.75946401089686,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.981664899969473,None,1,[0.44112590001896024],[0.4411281000357121],0,Instructions,heading,None,None,None,,,,,,,,001,2022-09-15_18h45.02.058,study,2022.1.4,130.75946401089686,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Imagine that there exists a part deep within you that you could call the "hidden observer." This part of you knows every detail of all behaviour and thought processes that go on within you and is aware of the deepest intimate information about yourself. However, it cannot be asked to talk about this intimate information unless it is allowed by you to do so.",description,None,None,None,,,,,,,,001,2022-09-15_18h45.02.058,study,2022.1.4,130.75946401089686,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Five brief descriptions of prank experiences from the target's perspective (taken from the website fmylife.com) appear below. Please read each one and - from the perspective of your "hidden observer" - rate your reactions to it.,description,None,None,None,,,,,,,,001,2022-09-15_18h45.02.058,study,2022.1.4,130.75946401089686,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.4554368999088183,18.458012099959888,None,""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)",I think that what happened was funny.,,001,2022-09-15_18h45.02.058,study,2022.1.4,130.75946401089686,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.903364000027068,19.921345199923962,None,""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)",I definitely wouldn’t have fallen for that prank.,,001,2022-09-15_18h45.02.058,study,2022.1.4,130.75946401089686,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.49934900004882365,20.83841849991586,None,""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)",I feel bad for the target of the prank.,,001,2022-09-15_18h45.02.058,study,2022.1.4,130.75946401089686,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.47136890003457665,21.358319799997844,None,""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)",I wish I could have been there to see that!,,001,2022-09-15_18h45.02.058,study,2022.1.4,130.75946401089686,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.38284650002606213,21.8577436999185,None,""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)",The target just needs to move on – why do they need to tell the world about it?!,,001,2022-09-15_18h45.02.058,study,2022.1.4,130.75946401089686,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.906048999982886,22.25380149995908,None,""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)",I think that the prank went WAY too far.,,001,2022-09-15_18h45.02.058,study,2022.1.4,130.75946401089686,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h45.02.058,study,2022.1.4,130.75946401089686,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.8913379999576136,25.19267509994097,None,""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)",I think that what happened was funny.,,001,2022-09-15_18h45.02.058,study,2022.1.4,130.75946401089686,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.32031340000685304,26.096456299885176,None,""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)",I definitely wouldn’t have fallen for that prank.,,001,2022-09-15_18h45.02.058,study,2022.1.4,130.75946401089686,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.3343464999925345,26.43774259998463,None,""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)",I feel bad for the target of the prank.,,001,2022-09-15_18h45.02.058,study,2022.1.4,130.75946401089686,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.9028280000202358,26.79251109994948,None,""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)",I wish I could have been there to see that!,,001,2022-09-15_18h45.02.058,study,2022.1.4,130.75946401089686,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.49959270004183054,27.716417799936607,None,""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)",The target just needs to move on – why do they need to tell the world about it?!,,001,2022-09-15_18h45.02.058,study,2022.1.4,130.75946401089686,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.5614331000251696,28.236830599955283,None,""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)",I think that the prank went WAY too far.,,001,2022-09-15_18h45.02.058,study,2022.1.4,130.75946401089686,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h45.02.058,study,2022.1.4,130.75946401089686,
