pranksLoop.thisRepN,pranksLoop.thisTrialN,pranksLoop.thisN,pranksLoop.thisIndex,promptLoop.thisRepN,promptLoop.thisTrialN,promptLoop.thisN,promptLoop.thisIndex,study.primer,infoletter.index,infoletter.itemText,infoletter.type,infoletter.granularity,infoletter.font,infoletter.markerColor,consentBtn.started,consentBtn.stopped,consentform.index,consentform.itemText,consentform.type,consentform.granularity,consentform.font,consentform.markerColor,consentform.response,consentform.rt,instructionsBtn.started,instructionsBtn.stopped,instructionsBtn.numClicks,instructionsBtn.timesOn,instructionsBtn.timesOff,instructionsform.index,instructionsform.itemText,instructionsform.type,instructionsform.granularity,instructionsform.font,instructionsform.markerColor,prankVar.routineValue,promptVar.routineValue,slider.response,slider.rt,slider.started,slider.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)","I wish I could have been there to see that!",6.0,0.4048002000199631,19.18162459996529,None,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)","The target just needs to move on – why do they need to tell the world about it?!",7.0,0.4896123999496922,19.60063599993009,None,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)","I think that the prank went WAY too far.",4.0,0.66216439998243,20.104850000003353,None,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)","I think that what happened was funny.",4.0,2.146894000004977,22.78143309999723,None,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)","I definitely wouldn’t have fallen for that prank.",5.0,2.027412399998866,24.942786899977364,None,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)","I feel bad for the target of the prank.",6.0,1.638943300000392,26.98406549997162,None,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)","I wish I could have been there to see that!",3.0,1.5015975000569597,28.63847150001675,None,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)","The target just needs to move on – why do they need to tell the world about it?!",7.0,1.2096278000390157,30.155404899967834,None,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my friends got me a cake for my birthday. As I blew out the candles, they shoved my head into it and I was knocked out for 3 minutes before an ambulance took me to the hospital. I got a concussion from a cake." (8 September 2017)","I think that the prank went WAY too far.",3.0,1.021777999936603,31.378964999923483,None,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today, my friends decided to pull a prank. They told my girlfriend I had cheated on her, which I hadn’t. Her revenge? Inviting me over to have me walk in on her with my brother. Our 6-month anniversary was two days away and I got her a trip to Spain, which cost me almost three paychecks." (19 December 2018)","I think that what happened was funny.",,,,,,,,,,,
