pranksLoop.thisRepN,pranksLoop.thisTrialN,pranksLoop.thisN,pranksLoop.thisIndex,promptLoop.thisRepN,promptLoop.thisTrialN,promptLoop.thisN,promptLoop.thisIndex,randomInt.routineEndVal,infoLetterContinue.numClicks,infoLetterContinue.timesOn,infoLetterContinue.timesOff,infoletter.index,infoletter.itemText,infoletter.type,infoletter.granularity,infoletter.font,infoletter.markerColor,consentBtn.started,consentBtn.stopped,consentBtn.numClicks,consentBtn.timesOn,consentBtn.timesOff,consentform.index,consentform.itemText,consentform.type,consentform.granularity,consentform.font,consentform.markerColor,consentform.response,consentform.rt,instructionsBtn.started,instructionsBtn.stopped,instructionsBtn.numClicks,instructionsBtn.timesOn,instructionsBtn.timesOff,instructionsform.index,instructionsform.itemText,instructionsform.type,instructionsform.granularity,instructionsform.font,instructionsform.markerColor,slider.response,slider.rt,slider.started,slider.stopped,prankVar.routineEndVal,promptVar.routineEndVal,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,10,"If you have any questions about the study, either before or after participating, please feel free to contact the Faculty Investigator as shown above.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h41.23.816,study,2022.1.4,142.46069525926004,
,,,,,,,,,,,,11,"This study has been reviewed and received ethics clearance through a University of Waterloo Research Ethics Board (REB# 44380). If you have questions for the Board, contact the Office of Research Ethics, at 1-519-888-4567 ext. 36005 or reb@uwaterloo.ca",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h41.23.816,study,2022.1.4,142.46069525926004,
,,,,,,,,,,,,,,,,,,13.046979199978523,None,1,[0.9960837999824435],[0.9960860999999568],0,Consent for Participation,heading,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h41.23.816,study,2022.1.4,142.46069525926004,
,,,,,,,,,,,,,,,,,,,,,,,1,"By consenting to participate, you are not waiving your legal rights or releasing the investigator(s) or involved institution(s) from their legal and professional responsibilities.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h41.23.816,study,2022.1.4,142.46069525926004,
,,,,,,,,,,,,,,,,,,,,,,,2,"I have read the information presented in the information letter about a study being conducted under the supervision of Chris Burris, Department of Psychology, St. Jerome's University (cburris@uwaterloo.ca). I have made this decision based on the information provided. I have had the opportunity to ask any questions related to this study, to receive satisfactory answers to my questions, and any additional details I wanted.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h41.23.816,study,2022.1.4,142.46069525926004,
,,,,,,,,,,,,,,,,,,,,,,,3,"As a participant in this online study, I am aware that my identity will remain confidential.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h41.23.816,study,2022.1.4,142.46069525926004,
,,,,,,,,,,,,,,,,,,,,,,,4,I am aware that I may withdraw from participating before reaching the end of the study without penalty.,description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h41.23.816,study,2022.1.4,142.46069525926004,
,,,,,,,,,,,,,,,,,,,,,,,5,"This study has been reviewed and received ethics clearance through a University of Waterloo Research Ethics Committee (REB# 44380). If you have questions for the Committee, contact the Office of Research Ethics at 1-519-888-4567 ext. 36005 or ore-ceo@uwaterloo.ca",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h41.23.816,study,2022.1.4,142.46069525926004,
,,,,,,,,,,,,,,,,,,,,,,,6,"If you have any questions about the study, either before or after participating, please feel free to contact the Faculty Investigator.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h41.23.816,study,2022.1.4,142.46069525926004,
,,,,,,,,,,,,,,,,,,,,,,,7,I agree to participate in this study:,choice,None,None,None,0.0,1.460328499902971,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h41.23.816,study,2022.1.4,142.46069525926004,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.020508599933237,None,1,[1.0440519999247044],[1.0440543999429792],0,Instructions,heading,None,None,None,,,,,,,,001,2022-09-15_18h41.23.816,study,2022.1.4,142.46069525926004,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Imagine that there exists a part deep within you that you could call the "hidden observer." This part of you knows every detail of all behaviour and thought processes that go on within you and is aware of the deepest intimate information about yourself. However, it cannot be asked to talk about this intimate information unless it is allowed by you to do so.",description,None,None,None,,,,,,,,001,2022-09-15_18h41.23.816,study,2022.1.4,142.46069525926004,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Five brief descriptions of prank experiences from the target's perspective (taken from the website fmylife.com) appear below. Please read each one and - from the perspective of your "hidden observer" - rate your reactions to it.,description,None,None,None,,,,,,,,001,2022-09-15_18h41.23.816,study,2022.1.4,142.46069525926004,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.3447038000449538,18.09875220002141,None,""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)",I think that what happened was funny.,,001,2022-09-15_18h41.23.816,study,2022.1.4,142.46069525926004,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.7934266000520438,19.44490829994902,None,""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)",I definitely wouldn’t have fallen for that prank.,,001,2022-09-15_18h41.23.816,study,2022.1.4,142.46069525926004,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.5724433000432327,20.258058100007474,None,""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)",I feel bad for the target of the prank.,,001,2022-09-15_18h41.23.816,study,2022.1.4,142.46069525926004,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.6878845000173897,20.852237900020555,None,""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)",I wish I could have been there to see that!,,001,2022-09-15_18h41.23.816,study,2022.1.4,142.46069525926004,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.090594399953261,21.567203599959612,None,""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)",The target just needs to move on – why do they need to tell the world about it?!,,001,2022-09-15_18h41.23.816,study,2022.1.4,142.46069525926004,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.5034037999575958,22.67175420001149,None,""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)",I think that the prank went WAY too far.,,001,2022-09-15_18h41.23.816,study,2022.1.4,142.46069525926004,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h41.23.816,study,2022.1.4,142.46069525926004,
